Transcription Units from All genes of E. coli K-12 substr. MG1655	Matches	Sequence - coordinates of DNA region	Sequence - length of region	Direction
TU0-8848	EG10535	[lit 1,198,695 &rarr; 1,199,588]	894	+
TU00183	EG10539	[livJ 3,598,555 &larr; 3,599,658]	1104	-
TU00457	EG10537 // EG10536 // EG10538 // EG10541 // EG10540	[livKHMGF 3,592,724 &larr; 3,597,560]	4837	-
TU00184	EG10537 // EG10536 // EG10538 // EG10541 // EG10540	[livKHMGF 3,592,724 &larr; 3,597,560]	4837	-
TU164	EG11961 // EG11963 // EG11962	[lldPRD 3,777,399 &rarr; 3,781,017]	3619	+
TU0-13079	EG12690 // G6465	[lolA-rarA 937,372 &rarr; 939,337]	1966	+
TU0-8323	EG10774 // EG11294 // EG11293	[lolB-ispE-prs 1,260,928 &larr; 1,263,500]	2573	-
TU0-13141	G6574 // G6575 // G6573	[TU0-13141 1,175,427 &rarr; 1,178,564]	3138	+
TU0-4931	EG10542	[lon 458,888 &rarr; 461,242]	2355	+
TU00523	EG10543	[lpdA 127,912 &rarr; 129,336]	1425	+
TU0-8380	EG10544	[lpp 1,757,421 &rarr; 1,757,657]	237	+
TU0-6509	EG10544	[lpp 1,757,421 &rarr; 1,757,657]	237	+
TU0-36433	EG11680 // G7665	[lptAB 3,343,380 &rarr; 3,344,669]	1290	+
TU0-14292	EG11680 // G7665	[lptAB 3,343,380 &rarr; 3,344,669]	1290	+
TU-8398	EG10898 // EG12146 // EG11681 // EG11682 // EG11680	[lptB-rpoN-hpf-ptsN-yhbJ 3,343,944 &rarr; 3,347,969]	4026	+
TU0-14176	G7888 // G7889	[TU0-14176 4,486,218 &rarr; 4,488,400]	2183	+
TU0-14606	EG10265	[lpxC 106,557 &rarr; 107,474]	918	+
TU0-12809	EG10265	[lpxC 106,557 &rarr; 107,474]	918	+
TU0-4184	EG10316	[lpxD 200,971 &rarr; 201,996]	1026	+
TU0-901	EG10464	[lpxL 1,115,662 &larr; 1,116,582]	921	-
TU0-13441	EG10614	[TU0-13441 1,939,222 &larr; 1,940,193]	972	-
TU0-3421	G7241	[lpxP 2,495,645 &rarr; 2,496,565]	921	+
TU0-44219	G7146	[lpxT 2,268,854 &rarr; 2,269,567]	714	+
TU00428	EG12123	[lrhA 2,405,703 &larr; 2,406,641]	939	-
TU00181	EG10547	[lrp 932,595 &rarr; 933,089]	495	+
TU0-14253	EG11080 // EG10548 // EG11081	[lsp-fkpB-ispH 25,207 &rarr; 27,227]	2021	+
TU0-7861	G6805 // G6804 // G6800 // G6802 // G6801 // G6803 // G6806	[lsrACDBFG-tam 1,601,490 &rarr; 1,608,104]	6615	+
TU0-13298	G6798	[lsrK 1,598,617 &larr; 1,600,209]	1593	-
TU0-13299	G6798 // G6799	[lsrRK 1,598,617 &larr; 1,601,241]	2625	-
TU0-14618	G6455 // G6454	[ltaE-ybjT 906,852 &larr; 909,294]	2443	-
TU0-8849	EG12712	[luxS 2,814,218 &larr; 2,814,733]	516	-
TU0-36414	EG12712	[luxS 2,814,218 &larr; 2,814,733]	516	-
TU00185	EG10549	[lysA 2,977,637 &larr; 2,978,899]	1263	-
TU0-6552	EG10550	[lysC 4,231,884 &larr; 4,233,233]	1350	-
TU0-6553	EG10550	[lysC 4,231,884 &larr; 4,233,233]	1350	-
TU0-13076	G6458	[lysO 913,958 &larr; 914,857]	900	-
TU0-6404	EG11337	[lysP 2,247,063 &larr; 2,248,532]	1470	-
TU0-13036	G6392	[TU0-13036 781,577 &rarr; 781,652]	76	+
TU00186	EG10551	[lysR 2,979,021 &rarr; 2,979,956]	936	+
TU00492	EG30055 // EG30057 // EG30109	[lysT-valT-lysW 780,554 &rarr; 780,918]	365	+
TU00221	EG10553	[lysU 4,353,200 &larr; 4,354,717]	1518	-
TU00429	EG10553	[lysU 4,353,200 &larr; 4,354,717]	1518	-
TU0-13035	G6391	[TU0-13035 781,369 &rarr; 781,444]	76	+
TU0-12942	G58	[TU0-12942 479,367 &larr; 479,918]	552	-
TU0-14298	G6462 // G6461	[macAB 919,235 &rarr; 922,293]	3059	+
TU0-8349	G6462	[macB 920,347 &rarr; 922,293]	1947	+
TU0-8350	G6462	[macB 920,347 &rarr; 922,293]	1947	+
TU0-13287	EG10948	[TU0-13287 1,553,972 &larr; 1,555,669]	1698	-
TU0-13637	G7293	[TU0-13637 2,576,098 &larr; 2,578,377]	2280	-
TU0-8828	EG11288	[mak 410,144 &rarr; 411,052]	909	+
TU00038	EG10555 // EG10556 // EG10554	[malEFG 4,242,626 &larr; 4,246,419]	3794	-
TU00187	EG10557	[malI 1,698,152 &larr; 1,699,180]	1029	-
TU00123	EG10558 // EG10559 // EG10528	[malK-lamB-malM 4,246,784 &rarr; 4,250,474]	3691	+
TU00039	EG10561 // EG10560	[malPQ 3,547,986 &larr; 3,552,473]	4488	-
TU-8414	EG10561	[malQ 3,547,986 &larr; 3,550,070]	2085	-
TU00137	EG11316	[malS 3,737,497 &rarr; 3,739,527]	2031	+
TU00091	EG10562	[malT 3,553,085 &rarr; 3,555,790]	2706	+
TU00132	EG10564 // EG10563	[malXY 1,699,355 &rarr; 1,702,129]	2775	+
TU0-44194	EG10564	[malY 1,700,957 &rarr; 1,702,129]	1173	+
TU0-5402	EG10565	[malZ 422,518 &rarr; 424,332]	1815	+
TU0-6425	EG10566	[manA 1,688,576 &rarr; 1,689,751]	1176	+
TU00196	EG10568 // EG10567 // EG10569	[manXYZ 1,902,048 &rarr; 1,904,746]	2699	+
TU0-12827	EG10570 // EG11411 // EG10207	[TU0-12827 185,123 &larr; 189,506]	4384	-
TU0-8827	EG11637	[marC 1,618,243 &larr; 1,618,908]	666	-
TU00190	EG11434 // EG11435 // EG11599	[marRAB 1,619,120 &rarr; 1,620,207]	1088	+
TU0-8677	EG12855	[matP 1,018,485 &rarr; 1,018,937]	453	+
TU522	EG11249 // EG10571 // EG10572	[mazEFG 2,909,894 &larr; 2,911,339]	1446	-
TU523	EG11249 // EG10571 // EG10572	[mazEFG 2,909,894 &larr; 2,911,339]	1446	-
TU0-8839	G0-8899	[mcaS 1,405,659 &larr; 1,405,751]	93	-
TU0-13056	G6415	[mcbA 841,796 &larr; 842,056]	261	-
TU0-13273	G6761	[TU0-13273 1,520,262 &rarr; 1,520,927]	666	+
TU0-13154	EG10573	[TU0-13154 1,210,346 &rarr; 1,211,179]	834	+
TU0-5661	EG10575 // EG10574	[mcrBC 4,576,912 &larr; 4,579,337]	2426	-
TU0-13835	EG12656	[TU0-13835 3,172,530 &rarr; 3,173,111]	582	+
TU00108	EG10576	[mdh 3,383,330 &larr; 3,384,268]	939	-
TU0-14745	EG10576	[mdh 3,383,330 &larr; 3,384,268]	939	-
TU0-12937	EG11622 // G6248	[TU0-12937 468,871 &rarr; 472,417]	3547	+
TU0-8826	G6552	[mdoC 1,107,784 &larr; 1,108,941]	1158	-
TU0-4143	EG11886 // EG11885	[mdoGH 1,109,335 &rarr; 1,113,406]	4072	+
TU00297	EG11886 // EG11885	[mdoGH 1,109,335 &rarr; 1,113,406]	4072	+
TU0-7881	EG11618 // EG11617 // G7113 // EG12136 // G7115 // G7114	[mdtABCD-baeSR 2,154,016 &rarr; 2,164,998]	10983	+
TU0-13964	EG12241 // EG12240	[mdtEF 3,659,232 &rarr; 3,663,527]	4296	+
TU0-14698	EG12241 // EG12240	[mdtEF 3,659,232 &rarr; 3,663,527]	4296	+
TU0-14697	EG12241 // EG12240	[mdtEF 3,659,232 &rarr; 3,663,527]	4296	+
TU0-13125	EG11343	[TU0-13125 1,114,264 &larr; 1,115,490]	1227	-
TU0-13131	G6559	[TU0-13131 1,124,118 &larr; 1,125,326]	1209	-
TU0-13343	G6857 // G6858	[mdtJI 1,672,820 &larr; 1,673,501]	682	-
TU0-8825	EG12400	[mdtK 1,743,457 &rarr; 1,744,830]	1374	+
TU0-14022	EG11720	[TU0-14022 3,891,615 &rarr; 3,892,790]	1176	+
TU0-14203	G7933 // EG12576	[TU0-14203 4,565,966 &larr; 4,568,519]	2554	-
TU0-14128	EG11952 // EG11954 // EG11953	[TU0-14128 4,299,564 &larr; 4,304,109]	4546	-
TU0-13532	EG12020	[TU0-13532 2,227,323 &larr; 2,228,758]	1436	-
TU00131	EG10577 // EG10578	[melAB 4,341,911 &rarr; 4,344,790]	2880	+
TU00040	EG11230	[melR 4,340,720 &larr; 4,341,628]	909	-
TU0-14669	EG11879 // EG11880	[menA-rraA 4,118,845 &larr; 4,120,349]	1505	-
TU0-965	EG11879 // EG11880	[menA-rraA 4,118,845 &larr; 4,120,349]	1505	-
TU0-5843	EG11368 // EG12437 // EG11532	[menBCE 2,373,648 &larr; 2,376,819]	3172	-
TU0-14538	EG11368 // EG12437 // EG10579 // EG11532 // EG12438	[menD-yfbB-menBCE 2,373,648 &larr; 2,379,259]	5612	-
TU00298	EG11368 // EG12437 // EG10579 // EG12362 // EG11532 // EG12438	[menFD-yfbB-menBCE 2,373,648 &larr; 2,380,643]	6996	-
TU0-13359	G6892	[mepH 1,734,435 &rarr; 1,735,250]	816	+
TU0-13091	G6474 // G6475	[mepK-gloC 983,075 &rarr; 984,297]	1223	+
TU0-13550	G7147	[mepS 2,269,979 &rarr; 2,270,545]	567	+
TU0-42566	G7147	[mepS 2,269,979 &rarr; 2,270,545]	567	+
TU0-5061	EG10581	[metA 4,214,280 &rarr; 4,215,209]	930	+
TU00041	EG10581	[metA 4,214,280 &rarr; 4,215,209]	930	+
TU0-3741	EG10582 // EG10590	[metBL 4,128,672 &rarr; 4,132,267]	3596	+
TU00191	EG10583	[metC 3,152,236 &rarr; 3,153,423]	1188	+
TU0-8221	EG10584	[metE 4,013,053 &rarr; 4,015,314]	2262	+
TU00218	EG10585	[metF 4,132,616 &rarr; 4,133,506]	891	+
TU0-42595	EG10586	[metG 2,194,300 &rarr; 2,196,333]	2034	+
TU0-13519	EG10586	[metG 2,194,300 &rarr; 2,196,333]	2034	+
TU00042	EG10587	[metH 4,223,828 &rarr; 4,227,511]	3684	+
TU0-42471	EG10587	[metH 4,223,828 &rarr; 4,227,511]	3684	+
TU0-2708	EG10588	[metJ 4,128,078 &larr; 4,128,395]	318	-
TU0-2706	EG10588	[metJ 4,128,078 &larr; 4,128,395]	318	-
TU0-2707	EG10588	[metJ 4,128,078 &larr; 4,128,395]	318	-
TU0-1783	EG10589	[metK 3,086,706 &rarr; 3,087,860]	1155	+
TU0-2302	EG11621 // EG11737 // EG11504	[metNIQ 220,113 &larr; 222,645]	2533	-
TU0-8224	EG10591	[metR 4,011,863 &larr; 4,012,816]	954	-
TU0-8223	EG10591	[metR 4,011,863 &larr; 4,012,816]	954	-
TU00507	EG30059 // EG30030 // EG30052 // EG30058 // EG30029 // EG30028 // EG30031	[metT-leuW-glnUW-metU-glnVX 696,430 &larr; 697,133]	704	-
TU343	EG30061	[metY 3,318,213 &larr; 3,318,289]	77	-
TU0-8476	EG30061	[metY 3,318,213 &larr; 3,318,289]	77	-
TU00517	EG10665 // EG30061 // EG10505 // EG11179	[metY-yhbC-nusA-infB 3,313,342 &larr; 3,318,289]	4948	-
TU341	EG11177 // EG10665 // EG30061 // EG11178 // EG10914 // EG10505 // EG11179 // EG10743	[metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp 3,309,033 &larr; 3,318,289]	9257	-
TU0-6223	EG11177 // EG10665 // EG30061 // EG11178 // EG10914 // EG10505 // EG11179 // EG10743	[metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp 3,309,033 &larr; 3,318,289]	9257	-
TU00496	EG30062 // EG30060 // EG31117	[metZWV 2,947,387 &rarr; 2,947,683]	297	+
TU0-2081	EG11619	[mfd 1,170,518 &larr; 1,173,964]	3447	-
TU0-2082	EG11619	[mfd 1,170,518 &larr; 1,173,964]	3447	-
TU0-7901	EG10592 // EG10594	[mglAC 2,236,743 &larr; 2,239,289]	2547	-
TU00168	EG10593 // EG10592 // EG10594	[mglBAC 2,236,743 &larr; 2,240,348]	3606	-
TU0-2447	G7002	[mgrB 1,908,623 &larr; 1,908,766]	144	-
TU0-14797	G0-10671	[mgrR 1,622,817 &larr; 1,622,914]	98	-
TU0-13100	G6497	[mgsA 1,026,557 &larr; 1,027,015]	459	-
TU0-2421	G0-10689 // EG12525	[mgtA 4,467,431 &rarr; 4,470,321]	2891	+
TU0-2422	G0-10689 // EG12525	[mgtA 4,467,431 &rarr; 4,470,321]	2891	+
TU0-13307	G0-8892	[mgtS 1,622,646 &rarr; 1,622,741]	96	+
TU0-2402	M010 // M014 // G6205 // M013 // M012 // M011	[mhpABCDFE 368,611 &rarr; 374,881]	6271	+
TU0-2405	EG10525 // G6201	[mhpR-lacI 366,428 &larr; 368,420]	1993	-
TU0-36427	EG10525 // G6201	[mhpR-lacI 366,428 &larr; 368,420]	1993	-
TU0-12900	G6206	[mhpT 375,459 &rarr; 376,670]	1212	+
TU0-14565	EG10595 // EG10438 // EG10437 // EG10435 // EG10436	[miaA-hfq-hflXKC 4,399,252 &rarr; 4,404,304]	5053	+
TU0-14563	EG10595 // EG10438 // EG10437 // EG10435 // EG10436	[miaA-hfq-hflXKC 4,399,252 &rarr; 4,404,304]	5053	+
TU0-13018	G6364	[TU0-13018 693,531 &larr; 694,955]	1425	-
TU0-8515	G0-8866	[micA 2,814,802 &rarr; 2,814,873]	72	+
TU0-8824	G0-8901	[micC 1,437,121 &rarr; 1,437,229]	109	+
TU0-2644	EG30063	[micF 2,313,084 &rarr; 2,313,176]	93	+
TU0-42592	G0-16601	[micL 1,958,441 &larr; 1,958,520]	80	-
TU0-42576	G0-16601	[micL 1,958,441 &larr; 1,958,520]	80	-
TU00299	EG10597 // EG10598 // EG10596	[minCDE 1,224,279 &larr; 1,226,080]	1802	-
TU0-14030	EG11199	[mioC 3,926,012 &larr; 3,926,455]	444	-
TU0-13400	G6968	[mipA 1,865,726 &larr; 1,866,472]	747	-
TU0-8537	G7216	[mlaA 2,464,252 &larr; 2,465,007]	756	-
TU0-13889	G7658 // EG12799 // G7659 // EG12801 // EG12800	[mlaFEDCB 3,336,963 &larr; 3,340,065]	3103	-
TU0-42672	G7658 // EG12799 // G7659 // EG12801 // EG12800	[mlaFEDCB 3,336,963 &larr; 3,340,065]	3103	-
TU0-42674	G7658 // EG12799 // G7659 // EG12801 // EG12800	[mlaFEDCB 3,336,963 &larr; 3,340,065]	3103	-
TU789	G6852	[mlc 1,667,344 &larr; 1,668,564]	1221	-
TU790	G6851 // G6852	[mlc-ynfK 1,666,524 &larr; 1,668,564]	2041	-
TU0-13354	EG11488	[TU0-13354 1,718,066 &larr; 1,718,395]	330	-
TU0-13527	EG12008	[mlrA 2,214,866 &rarr; 2,215,597]	732	+
TU0-13743	G7457	[TU0-13743 2,946,081 &larr; 2,947,178]	1098	-
TU0-13719	G7410	[TU0-13719 2,824,491 &larr; 2,825,576]	1086	-
TU0-12841	EG10246	[TU0-12841 232,597 &larr; 233,955]	1359	-
TU0-8335	EG11373	[mltF 2,695,801 &rarr; 2,697,357]	1557	+
TU0-12864	G6136 // G6135	[TU0-12864 275,325 &rarr; 277,647]	2323	+
TU0-13271	G6759 // G6758	[TU0-13271 1,517,882 &larr; 1,518,846]	965	-
TU0-4482	EG13236 // EG13235	[mngAB 765,984 &rarr; 770,611]	4628	+
TU0-44204	EG13236	[mngB 767,978 &rarr; 770,611]	2634	+
TU0-44203	EG13236	[mngB 767,978 &rarr; 770,611]	2634	+
TU00408	EG11109	[mngR 765,153 &larr; 765,875]	723	-
TU0-14364	EG11344	[mnmA 1,192,667 &larr; 1,193,773]	1107	-
TU0-14021	EG10997	[TU0-14021 3,886,828 &rarr; 3,888,192]	1365	+
TU0-14029	EG10376 // EG10375	[mnmG-rsmG 3,923,057 &larr; 3,925,633]	2577	-
TU0-12822	EG12334 // EG12333 // EG11090	[mnt-btuF-yadS 177,001 &larr; 179,153]	2153	-
TU0-7321	G7254	[mntH 2,511,468 &larr; 2,512,706]	1239	-
TU0-13420	G6999	[mntP 1,905,688 &rarr; 1,906,254]	567	+
TU0-13059	G6420 // G6421	[mntR-ybiR 853,183 &rarr; 854,765]	1583	+
TU00300	EG11597 // EG11596 // EG11666 // EG11595 // EG11598	[moaABCDE 817,044 &rarr; 819,747]	2704	+
TU0-1123	EG11597 // EG11596 // EG11666 // EG11595 // EG11598	[moaABCDE 817,044 &rarr; 819,747]	2704	+
TU0-7262	EG11597 // EG11596 // EG11666 // EG11598	[moaBCDE 818,055 &rarr; 819,747]	1693	+
TU262	EG11828 // EG11829	[mobAB 4,040,906 &larr; 4,041,999]	1094	-
TU263	EG11828 // EG11829	[mobAB 4,040,906 &larr; 4,041,999]	1094	-
TU0-13780	G7496	[TU0-13780 3,015,160 &rarr; 3,015,738]	579	+
TU0-14276	EG10002 // EG12427 // EG10152	[modABC 795,089 &rarr; 797,612]	2524	+
TU00301	EG10002 // EG12427 // EG10152	[modABC 795,089 &rarr; 797,612]	2524	+
TU0-13040	G6395 // EG11677	[TU0-13040 792,316 &larr; 794,644]	2329	-
TU00302	EG10154 // EG10153	[moeAB 864,380 &larr; 866,364]	1985	-
TU0-12790	EG11511	[TU0-12790 9,306 &rarr; 9,893]	588	+
TU0-13256	G6736	[TU0-13256 1,491,962 &larr; 1,492,129]	168	-
TU0-12794	G0-9563 // EG10373	[TU0-12794 16,751 &larr; 16,960]	210	-
TU00303	EG10602 // EG10146 // EG10149 // EG10601	[motAB-cheAW 1,972,836 &larr; 1,977,139]	4304	-
TU0-41739	G6662	[TU0-41739 1,389,870 &larr; 1,390,598]	729	-
TU0-41740	G6662	[TU0-41740 1,389,870 &larr; 1,390,598]	729	-
TU0-963	EG12440	[mpl 4,455,785 &rarr; 4,457,158]	1374	+
TU0-964	EG12440	[mpl 4,455,785 &rarr; 4,457,158]	1374	+
TU0-13218	G6665	[TU0-13218 1,393,227 &rarr; 1,394,840]	1614	+
TU0-13559	EG12069	[TU0-13559 2,305,108 &larr; 2,306,754]	1647	-
TU0-45153	G7571	[mqsA 3,167,851 &larr; 3,168,246]	396	-
TU0-45150	G7571	[mqsA 3,167,851 &larr; 3,168,246]	396	-
TU0-13832	G7572 // G7571	[mqsRA 3,167,851 &larr; 3,168,544]	694	-
TU0-14791	G7572 // G7571	[mqsRA 3,167,851 &larr; 3,168,544]	694	-
TU0-14439	EG11085 // EG10344 // EG10339 // EG10347 // EG10342 // EG11086 // EG10265 // EG10620 // EG10623 // EG10604 // EG10619 // EG10622 // EG10341 // EG10621 // EG10214	[mraW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 90,094 &rarr; 107,474]	17381	+
TU0-941	EG11085 // EG10344 // EG10339 // EG10347 // EG10342 // EG11086 // EG10265 // EG10620 // EG10623 // EG10604 // EG10619 // EG10622 // EG10341 // EG10621 // EG10214 // EG11084	[mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 89,634 &rarr; 107,474]	17841	+
TU0-8822	EG10748	[mrcA 3,522,871 &rarr; 3,525,423]	2553	+
TU0-12820	EG10605	[mrcB 164,730 &rarr; 167,264]	2535	+
TU0-14389	EG10608	[mreB 3,400,044 &larr; 3,401,087]	1044	-
TU0-14390	EG10608	[mreB 3,400,044 &larr; 3,401,087]	1044	-
TU0-14388	EG10608	[mreB 3,400,044 &larr; 3,401,087]	1044	-
TU0-14386	EG10609 // EG10610 // EG10608	[mreBCD 3,398,387 &larr; 3,401,087]	2701	-
TU0-14387	EG10609 // EG10610 // EG10608	[mreBCD 3,398,387 &larr; 3,401,087]	2701	-
TU00304	EG10609 // EG10610 // EG10608	[mreBCD 3,398,387 &larr; 3,401,087]	2701	-
TU0-14532	EG10609 // EG10610	[mreCD 3,398,387 &larr; 3,399,978]	1592	-
TU0-13518	EG10611	[mrp 2,193,059 &larr; 2,194,168]	1110	-
TU0-8821	EG10612	[mrr 4,586,949 &rarr; 4,587,863]	915	+
TU0-12944	G6255	[mscK 486,536 &rarr; 489,898]	3363	+
TU0-13909	EG11180	[mscL 3,438,024 &rarr; 3,438,434]	411	+
TU0-13800	EG11160	[mscS 3,068,947 &larr; 3,069,807]	861	-
TU241	EG11433	[msrA 4,441,538 &larr; 4,442,176]	639	-
TU0-13396	EG12394	[TU0-13396 1,862,016 &larr; 1,862,429]	414	-
TU0-41857	EG12394	[msrB 1,862,016 &larr; 1,862,429]	414	-
TU0-13426	G7005	[TU0-13426 1,915,631 &larr; 1,916,128]	498	-
TU0-13469	G7060 // G7059	[TU0-13469 2,039,478 &rarr; 2,041,118]	1641	+
TU0-8150	EG11338	[msyB 1,113,807 &larr; 1,114,181]	375	-
TU0-13471	G7063	[TU0-13471 2,043,651 &rarr; 2,044,448]	798	+
TU00193	EG10616 // EG10615 // EG11965	[mtlADR 3,772,281 &rarr; 3,776,159]	3879	+
TU00093	EG10617	[mtr 3,304,573 &larr; 3,305,817]	1245	-
TU0-14288	EG10617	[mtr 3,304,573 &larr; 3,305,817]	1245	-
TU0-8820	EG12717	[mug 3,214,967 &larr; 3,215,473]	507	-
TU0-13887	EG11358	[TU0-13887 3,335,235 &larr; 3,336,494]	1260	-
TU0-14099	EG10123 // EG11205	[TU0-14099 4,172,057 &rarr; 4,174,047]	1991	+
TU0-13132	G6561	[TU0-13132 1,127,839 &rarr; 1,129,374]	1536	+
TU0-14715	G7263 // G7264	[murQP 2,545,773 &rarr; 2,548,097]	2325	+
TU0-14714	G7263 // G7264	[murQP 2,545,773 &rarr; 2,548,097]	2325	+
TU0-13625	G7263 // G7264 // G7265	[TU0-13625 2,545,773 &rarr; 2,549,406]	3634	+
TU0-13624	G7262	[murR 2,544,752 &larr; 2,545,609]	858	-
TU0-13747	EG10624	[TU0-13747 2,969,662 &rarr; 2,970,351]	690	+
TU0-14561	EG11281 // EG10595 // EG10438 // EG10437 // EG10435 // EG10436	[mutL-miaA-hfq-hflXKC 4,397,412 &rarr; 4,404,304]	6893	+
TU0-14562	EG11281 // EG10595 // EG10438 // EG10437 // EG10435 // EG10436	[mutL-miaA-hfq-hflXKC 4,397,412 &rarr; 4,404,304]	6893	+
TU0-5523	EG10329	[mutM 3,810,343 &larr; 3,811,152]	810	-
TU0-8355	EG10329	[mutM 3,810,343 &larr; 3,811,152]	810	-
TU723	EG10625	[mutS 2,857,093 &rarr; 2,859,654]	2562	+
TU0-5567	EG10627 // G7532	[mutY-yggX 3,103,013 &rarr; 3,104,368]	1356	+
TU0-5781	EG10627 // G7532	[mutY-yggX 3,103,013 &rarr; 3,104,368]	1356	+
TU0-5568	EG10627 // G7533 // G7532	[mutY-yggX-mltC 3,103,013 &rarr; 3,105,512]	2500	+
TU0-5782	EG10627 // G7533 // G7532	[mutY-yggX-mltC 3,103,013 &rarr; 3,105,512]	2500	+
TU0-5562	EG10664 // EG10627 // G7533 // G7532	[mutY-yggX-mltC-nupG 3,103,013 &rarr; 3,106,970]	3958	+
TU0-5561	EG10664 // EG10627 // G7533 // G7532	[mutY-yggX-mltC-nupG 3,103,013 &rarr; 3,106,970]	3958	+
TU0-14350	G6560	[mviM 1,126,806 &rarr; 1,127,729]	924	+
TU65	G7072	[nac 2,061,016 &larr; 2,061,933]	918	-
TU0-13037	EG11700 // EG10630	[TU0-13037 782,085 &rarr; 783,885]	1801	+
TU00194	EG10631	[nadB 2,710,420 &rarr; 2,712,042]	1623	+
TU0-12812	EG11546	[nadC 117,752 &larr; 118,645]	894	-
TU0-13386	EG10663	[nadE 1,822,458 &rarr; 1,823,285]	828	+
TU0-13683	EG12192	[TU0-13683 2,750,831 &rarr; 2,751,709]	879	+
TU0-7805	EG10632	[nagA 701,603 &larr; 702,751]	1149	-
TU00043	EG10634 // EG10633 // EG10632 // EG10636	[nagBACD 699,574 &larr; 703,611]	4038	-
TU0-14464	EG10636	[nagC 700,374 &larr; 701,594]	1221	-
TU0-14463	EG10636	[nagC 700,374 &larr; 701,594]	1221	-
TU0-4421	EG10635	[nagE 703,944 &rarr; 705,890]	1947	+
TU0-13142	G6576 // G6577	[TU0-13142 1,178,593 &rarr; 1,180,359]	1767	+
TU0-42543	EG10637	[nanA 3,372,683 &larr; 3,373,576]	894	-
TU0-1601	G7675 // EG10637 // G436 // G7677 // G7676	[nanATEK-yhcH 3,369,014 &larr; 3,373,576]	4563	-
TU0-6843	G7921 // G7920	[nanCM 4,537,659 &larr; 4,539,501]	1843	-
TU0-42544	G7921 // G7919 // G7920	[nanCMS 4,536,614 &larr; 4,539,501]	2888	-
TU0-13895	G7678	[TU0-13895 3,373,698 &larr; 3,374,489]	792	-
TU0-14196	G7919	[TU0-14196 4,536,614 &larr; 4,537,594]	981	-
TU0-8484	EG12143 // EG12060 // EG12064 // EG12062 // EG12068 // EG12061 // EG12067	[napFDAGHBC 2,297,657 &larr; 2,303,497]	5841	-
TU363	EG12143 // EG12060 // EG12064 // EG12062 // EG12068 // EG12061 // EG12067 // EG12059 // EG12054 // EG12058 // EG12053 // EG12057 // EG12052 // EG12055 // EG12169	[napFDAGHBC-ccmABCDEFGH 2,291,358 &larr; 2,303,497]	12140	-
TU00305	EG12143 // EG12060 // EG12064 // EG12062 // EG12068 // EG12061 // EG12067 // EG12059 // EG12054 // EG12058 // EG12053 // EG12057 // EG12052 // EG12055 // EG12169	[napFDAGHBC-ccmABCDEFGH 2,291,358 &larr; 2,303,497]	12140	-
TU00044	EG10639 // EG10638 // EG10641 // EG10640	[narGHJI 1,279,864 &rarr; 1,286,526]	6663	+
TU00045	EG10642	[narK 1,277,957 &rarr; 1,279,348]	1392	+
TU0-8324	EG10642	[narK 1,277,957 &rarr; 1,279,348]	1392	+
TU0-8819	EG11527	[narP 2,290,500 &rarr; 2,291,147]	648	+
TU0-13641	EG11460	[narQ 2,585,731 &rarr; 2,587,431]	1701	+
TU0-2661	EG12153	[narU 1,542,672 &larr; 1,544,060]	1389	-
TU0-2649	EG12153	[narU 1,542,672 &larr; 1,544,060]	1389	-
TU-8427	EG10645 // EG10644	[narWV 1,535,937 &larr; 1,537,309]	1373	-
TU00156	EG10643 // EG10646	[narXL 1,275,179 &larr; 1,277,618]	2440	-
TU00306	EG10645 // EG10648 // EG10644 // EG10647	[narZYWV 1,535,937 &larr; 1,542,590]	6654	-
TU00158	EG10649	[ndh 1,166,085 &rarr; 1,167,389]	1305	+
TU0-13651	EG10650	[TU0-13651 2,644,433 &larr; 2,644,864]	432	-
TU0-44220	G6383	[nei 745,935 &rarr; 746,726]	792	+
TU0-14352	G6890	[nemA 1,726,659 &rarr; 1,727,756]	1098	+
TU0-14687	G6889 // G6890	[nemRA 1,726,023 &rarr; 1,727,756]	1734	+
TU0-42534	G6889 // G6890 // G6891	[nemRA-gloA 1,726,023 &rarr; 1,728,244]	2222	+
TU0-14010	EG11689	[nepI 3,840,549 &larr; 3,841,739]	1191	-
TU0-8327	G7593	[nfeF 3,215,727 &larr; 3,216,491]	765	-
TU00189	EG10651	[nfo 2,250,840 &rarr; 2,251,697]	858	+
TU00307	EG11739 // EG11740	[nfrBA 587,982 &larr; 593,178]	5197	-
TU0-4624	EG50005	[nfsB 604,771 &larr; 605,424]	654	-
TU0-8481	G7748	[nfuA 3,545,624 &rarr; 3,546,199]	576	+
TU0-14478	G7748	[nfuA 3,545,624 &rarr; 3,546,199]	576	+
TU00200	EG11078 // EG10652	[nhaAR 17,489 &rarr; 19,620]	2132	+
TU0-3862	EG11078 // EG10652	[nhaAR 17,489 &rarr; 19,620]	2132	+
TU0-13173	EG11392	[TU0-13173 1,233,176 &larr; 1,234,717]	1542	-
TU0-14299	EG11078	[nhaR 18,715 &rarr; 19,620]	906	+
TU0-8818	G6770	[nhoA 1,534,024 &rarr; 1,534,869]	846	+
